TypeDescription,Manufacturer,Age,AssetCondition,Operations,MonthsToFailure
Infusion Pump,Physio-Control Inc,0,1,2,30.6
Ventilator,B. Braun Melsungen AG,25,0,2,8.0
Radiographic System,Welch Allyn Inc,28,0,1,10.8
Physiologic Monitoring System,Drager Medical AG & Co KGaA,20,0,2,20.7
Defibrillator,B. Braun Melsungen AG,20,0,1,23.1
Infusion Pump,Omron Healthcare Co Ltd,7,1,1,31.0
Infusion Pump,Koninklijke Philips N.V.,22,2,2,2.0
Defibrillator,Medtronic,23,0,1,18.5
Physiologic Monitoring System,Siemens Healthineers,5,0,1,46.1
Physiologic Monitoring System,Canon Inc (Toshiba Medical),21,1,1,11.8
Radiographic System,Baxter Healthcare Corp,17,2,2,2.0
Radiographic System,Physio-Control Inc,5,0,2,36.1
Sphygmomanometers,Drager Medical AG & Co KGaA,4,0,1,51.0
Sphygmomanometers,B. Braun Melsungen AG,12,1,2,22.4
Ventilator,Nihon Kohden Corp,18,0,1,19.4
Infusion Pump,Blease Medical Equipment Ltd,21,0,1,27.2
Radiographic System,Welch Allyn Inc,7,1,2,13.9
Physiologic Monitoring System,Welch Allyn Inc,8,1,1,24.8
Defibrillator,Koninklijke Philips N.V.,16,1,1,14.6
Physiologic Monitoring System,Siemens Healthineers,2,1,1,34.7
Infusion Pump,Siemens Healthineers,18,1,2,12.8
Sphygmomanometers,Welch Allyn Inc,10,0,1,37.8
Physiologic Monitoring System,Welch Allyn Inc,23,0,2,19.5
Ventilator,Med-Vantage Sdn Bhd,16,0,2,21.3
Infusion Pump,Physio-Control Inc,20,0,1,25.3
Sphygmomanometers,Med-Vantage Sdn Bhd,18,1,2,8.9
Defibrillator,Baxter Healthcare Corp,1,2,1,16.4
Sphygmomanometers,Datex-Ohmeda Inc,30,2,1,2.0
Ventilator,Omron Healthcare Co Ltd,7,1,2,17.8
Infusion Pump,Nihon Kohden Corp,18,0,2,24.4
Defibrillator,Omron Healthcare Co Ltd,6,0,1,39.0
Ventilator,Physio-Control Inc,27,2,1,2.0
Sphygmomanometers,B. Braun Melsungen AG,26,1,1,2.6
Ventilator,Medtronic,16,1,1,13.8
Infusion Pump,Welch Allyn Inc,5,1,1,30.4
Radiographic System,GE Healthcare,18,1,1,7.1
Ventilator,Datex-Ohmeda Inc,23,2,2,2.0
Ventilator,Baxter Healthcare Corp,5,0,1,34.6
Sphygmomanometers,Koninklijke Philips N.V.,27,1,1,11.1
Sphygmomanometers,Datex-Ohmeda Inc,1,2,2,25.7
Defibrillator,Welch Allyn Inc,5,0,2,37.5
Sphygmomanometers,Drager Medical AG & Co KGaA,22,1,1,13.4
Physiologic Monitoring System,Baxter Healthcare Corp,4,0,1,42.5
Infusion Pump,Medtronic,18,2,2,2.9
Infusion Pump,Drager Medical AG & Co KGaA,19,0,1,27.4
Radiographic System,Datex-Ohmeda Inc,3,1,1,27.9
Radiographic System,GE Healthcare,21,0,2,10.8
Infusion Pump,GE Healthcare,25,1,1,2.0
Radiographic System,Med-Vantage Sdn Bhd,16,0,1,26.1
Defibrillator,Medtronic,10,0,1,31.4
Sphygmomanometers,Siemens Healthineers,3,1,1,40.0
Infusion Pump,Canon Inc (Toshiba Medical),25,2,1,2.0
Radiographic System,Nihon Kohden Corp,12,0,2,24.2
Infusion Pump,Welch Allyn Inc,19,0,1,27.5
Physiologic Monitoring System,Koninklijke Philips N.V.,25,1,1,10.4
Ventilator,Welch Allyn Inc,16,1,1,9.7
Sphygmomanometers,Siemens Healthineers,8,2,2,15.0
Infusion Pump,Omron Healthcare Co Ltd,3,0,1,46.5
Ventilator,Med-Vantage Sdn Bhd,22,1,1,2.0
Radiographic System,Med-Vantage Sdn Bhd,27,0,2,4.6
Ventilator,Omron Healthcare Co Ltd,13,0,1,31.2
Sphygmomanometers,Blease Medical Equipment Ltd,18,1,1,22.5
Infusion Pump,Omron Healthcare Co Ltd,25,1,1,10.6
Physiologic Monitoring System,GE Healthcare,27,1,1,2.0
Radiographic System,GE Healthcare,2,0,1,45.5
Infusion Pump,B. Braun Melsungen AG,13,0,2,29.6
Sphygmomanometers,Drager Medical AG & Co KGaA,7,0,1,49.9
Radiographic System,Datex-Ohmeda Inc,23,2,2,2.0
Defibrillator,Koninklijke Philips N.V.,26,0,1,11.9
Ventilator,Medtronic,27,0,1,6.9
Sphygmomanometers,Datex-Ohmeda Inc,0,0,1,56.9
Defibrillator,Welch Allyn Inc,9,1,2,19.1
Infusion Pump,B. Braun Melsungen AG,17,0,1,26.1
Physiologic Monitoring System,GE Healthcare,15,2,2,2.0
Radiographic System,Med-Vantage Sdn Bhd,7,0,1,35.9
Ventilator,Medtronic,0,2,1,21.3
Radiographic System,GE Healthcare,30,0,1,2.5
Infusion Pump,Canon Inc (Toshiba Medical),11,1,1,21.2
Radiographic System,Koninklijke Philips N.V.,7,2,1,11.5
Ventilator,Drager Medical AG & Co KGaA,23,0,1,19.7
Infusion Pump,Blease Medical Equipment Ltd,15,2,2,2.0
Radiographic System,Datex-Ohmeda Inc,17,1,1,7.2
Physiologic Monitoring System,Datex-Ohmeda Inc,3,2,2,18.8
Sphygmomanometers,Omron Healthcare Co Ltd,5,1,1,37.6
Infusion Pump,Siemens Healthineers,11,0,1,35.8
Sphygmomanometers,Omron Healthcare Co Ltd,26,0,2,21.3
Infusion Pump,Canon Inc (Toshiba Medical),8,0,1,42.9
Physiologic Monitoring System,Medtronic,14,0,1,32.8
Sphygmomanometers,Nihon Kohden Corp,15,0,2,26.5
Defibrillator,Omron Healthcare Co Ltd,23,0,2,15.4
Ventilator,Blease Medical Equipment Ltd,11,0,1,33.7
Defibrillator,B. Braun Melsungen AG,30,1,1,2.0
Radiographic System,Omron Healthcare Co Ltd,23,0,2,10.0
Physiologic Monitoring System,Omron Healthcare Co Ltd,22,0,1,23.0
Defibrillator,Nihon Kohden Corp,13,1,2,13.9
Infusion Pump,Siemens Healthineers,12,0,1,32.8
Radiographic System,Koninklijke Philips N.V.,24,0,1,9.9
Radiographic System,B. Braun Melsungen AG,30,0,2,2.0
Defibrillator,Omron Healthcare Co Ltd,1,2,1,23.0
Defibrillator,Canon Inc (Toshiba Medical),2,2,1,18.2
Physiologic Monitoring System,Med-Vantage Sdn Bhd,25,0,1,17.6
Ventilator,Drager Medical AG & Co KGaA,23,1,2,2.0
Defibrillator,Blease Medical Equipment Ltd,29,1,2,2.0
Defibrillator,Nihon Kohden Corp,21,1,1,7.3
Sphygmomanometers,Drager Medical AG & Co KGaA,9,1,1,30.6
Infusion Pump,Nihon Kohden Corp,8,1,2,19.4
Sphygmomanometers,Canon Inc (Toshiba Medical),25,0,2,18.0
Sphygmomanometers,Drager Medical AG & Co KGaA,19,0,2,25.5
Radiographic System,Nihon Kohden Corp,7,1,1,23.3
Ventilator,Welch Allyn Inc,9,2,2,3.7
Infusion Pump,Drager Medical AG & Co KGaA,18,1,2,15.4
Physiologic Monitoring System,Siemens Healthineers,2,2,1,27.3
Physiologic Monitoring System,Baxter Healthcare Corp,23,2,1,2.0
Defibrillator,B. Braun Melsungen AG,4,0,1,42.1
Defibrillator,Medtronic,2,1,2,31.3
Physiologic Monitoring System,Koninklijke Philips N.V.,25,1,1,9.2
Defibrillator,Welch Allyn Inc,26,2,2,2.0
Ventilator,Physio-Control Inc,15,2,2,2.0
Sphygmomanometers,GE Healthcare,16,1,2,19.8
Defibrillator,Canon Inc (Toshiba Medical),14,0,2,27.8
Radiographic System,Canon Inc (Toshiba Medical),2,1,2,22.9
Defibrillator,Omron Healthcare Co Ltd,11,0,1,31.5
Infusion Pump,Med-Vantage Sdn Bhd,8,1,2,20.7
Ventilator,Blease Medical Equipment Ltd,20,2,1,2.0
Infusion Pump,Medtronic,11,0,2,33.5
Infusion Pump,GE Healthcare,25,1,1,4.7
Radiographic System,Canon Inc (Toshiba Medical),14,0,2,20.4
Ventilator,B. Braun Melsungen AG,1,0,2,33.6
Ventilator,Medtronic,22,0,2,15.2
Ventilator,Drager Medical AG & Co KGaA,30,1,1,2.0
Ventilator,Drager Medical AG & Co KGaA,17,2,1,2.0
Ventilator,Physio-Control Inc,19,2,2,2.0
Radiographic System,GE Healthcare,11,0,1,29.8
Defibrillator,Canon Inc (Toshiba Medical),22,2,2,2.0
Infusion Pump,Koninklijke Philips N.V.,3,1,1,32.1
Ventilator,Canon Inc (Toshiba Medical),22,0,2,10.6
Defibrillator,B. Braun Melsungen AG,15,0,1,29.9
Defibrillator,Drager Medical AG & Co KGaA,22,0,2,16.6
Infusion Pump,Omron Healthcare Co Ltd,15,2,2,2.0
Radiographic System,Baxter Healthcare Corp,0,1,1,27.6
Physiologic Monitoring System,Siemens Healthineers,21,1,1,10.3
Physiologic Monitoring System,Siemens Healthineers,24,0,1,25.4
Defibrillator,Nihon Kohden Corp,1,1,2,26.4
Sphygmomanometers,Koninklijke Philips N.V.,29,0,1,17.1
Sphygmomanometers,Canon Inc (Toshiba Medical),2,0,2,50.9
Infusion Pump,Siemens Healthineers,25,1,1,4.7
Physiologic Monitoring System,Nihon Kohden Corp,20,0,1,25.6
Defibrillator,GE Healthcare,24,2,1,2.0
Radiographic System,Drager Medical AG & Co KGaA,19,0,1,23.6
Physiologic Monitoring System,Blease Medical Equipment Ltd,16,1,1,17.1
Defibrillator,Med-Vantage Sdn Bhd,19,0,2,20.8
Defibrillator,Welch Allyn Inc,21,1,2,2.0
Ventilator,Drager Medical AG & Co KGaA,20,0,1,16.8
Radiographic System,Welch Allyn Inc,29,0,2,2.0
Ventilator,Omron Healthcare Co Ltd,28,2,2,2.0
Infusion Pump,Baxter Healthcare Corp,0,0,1,52.2
Ventilator,Medtronic,19,2,1,3.2
Ventilator,Siemens Healthineers,5,2,1,16.3
Physiologic Monitoring System,GE Healthcare,28,0,1,15.3
Sphygmomanometers,Welch Allyn Inc,14,0,2,34.4
Defibrillator,Med-Vantage Sdn Bhd,25,1,2,2.0
Radiographic System,Datex-Ohmeda Inc,25,2,1,2.0
Ventilator,Canon Inc (Toshiba Medical),13,2,1,2.9
Radiographic System,Siemens Healthineers,19,1,2,2.0
Sphygmomanometers,Canon Inc (Toshiba Medical),14,1,2,16.1
Sphygmomanometers,Med-Vantage Sdn Bhd,13,0,2,32.3
Ventilator,Koninklijke Philips N.V.,24,2,2,2.0
Infusion Pump,Omron Healthcare Co Ltd,20,2,1,3.9
Ventilator,Medtronic,23,0,2,6.9
Physiologic Monitoring System,Siemens Healthineers,24,0,2,12.3
Defibrillator,Canon Inc (Toshiba Medical),25,0,1,14.9
Infusion Pump,GE Healthcare,4,0,2,43.7
Ventilator,Siemens Healthineers,5,2,1,14.9
Radiographic System,Welch Allyn Inc,16,0,1,24.0
Infusion Pump,Koninklijke Philips N.V.,10,0,1,37.3
Infusion Pump,Datex-Ohmeda Inc,15,0,1,33.2
Ventilator,B. Braun Melsungen AG,11,2,1,7.8
Infusion Pump,Physio-Control Inc,14,1,1,19.7
Radiographic System,Datex-Ohmeda Inc,22,0,1,13.0
Sphygmomanometers,Nihon Kohden Corp,3,0,1,48.7
Infusion Pump,Siemens Healthineers,26,2,1,2.0
Sphygmomanometers,Drager Medical AG & Co KGaA,17,2,1,4.0
Radiographic System,Baxter Healthcare Corp,20,0,2,17.2
Ventilator,Drager Medical AG & Co KGaA,27,0,1,8.8
Defibrillator,Datex-Ohmeda Inc,2,0,1,45.2
Infusion Pump,Welch Allyn Inc,21,0,2,20.5
Defibrillator,Drager Medical AG & Co KGaA,7,1,2,18.7
Radiographic System,GE Healthcare,22,2,2,2.0
Infusion Pump,Drager Medical AG & Co KGaA,2,1,1,36.2
Sphygmomanometers,Medtronic,7,2,1,18.8
Physiologic Monitoring System,B. Braun Melsungen AG,17,0,2,22.2
Defibrillator,Siemens Healthineers,9,1,1,20.4
Infusion Pump,Med-Vantage Sdn Bhd,24,1,1,10.3
Defibrillator,Omron Healthcare Co Ltd,19,0,1,23.3
Infusion Pump,Drager Medical AG & Co KGaA,16,0,2,23.2
Ventilator,Koninklijke Philips N.V.,7,1,1,25.6
Sphygmomanometers,Omron Healthcare Co Ltd,22,0,2,19.6
Defibrillator,B. Braun Melsungen AG,10,0,2,24.1
Physiologic Monitoring System,Canon Inc (Toshiba Medical),28,1,1,4.8
Physiologic Monitoring System,Med-Vantage Sdn Bhd,4,2,2,20.9
Radiographic System,Welch Allyn Inc,25,1,2,2.0
Infusion Pump,B. Braun Melsungen AG,12,2,2,2.0
Defibrillator,Drager Medical AG & Co KGaA,20,0,1,20.9
Radiographic System,B. Braun Melsungen AG,22,1,2,2.0
Defibrillator,Omron Healthcare Co Ltd,4,1,1,30.2
Infusion Pump,Baxter Healthcare Corp,23,2,2,2.0
Physiologic Monitoring System,Welch Allyn Inc,26,0,1,17.4
Ventilator,Drager Medical AG & Co KGaA,12,1,1,13.3
Physiologic Monitoring System,GE Healthcare,5,1,2,28.6
Radiographic System,Datex-Ohmeda Inc,28,0,2,2.0
Sphygmomanometers,Medtronic,4,0,2,45.9
Ventilator,Physio-Control Inc,8,0,1,32.7
Radiographic System,Blease Medical Equipment Ltd,26,0,1,2.3
Infusion Pump,Nihon Kohden Corp,15,2,2,3.5
Ventilator,Welch Allyn Inc,1,0,2,39.9
Radiographic System,B. Braun Melsungen AG,0,0,2,42.4
Infusion Pump,GE Healthcare,7,1,1,24.2
Physiologic Monitoring System,Siemens Healthineers,27,0,1,15.3
Sphygmomanometers,Siemens Healthineers,18,1,2,14.4
Infusion Pump,Nihon Kohden Corp,29,0,2,9.7
Defibrillator,Welch Allyn Inc,10,2,1,5.3
Infusion Pump,Welch Allyn Inc,27,2,2,2.0
Infusion Pump,Medtronic,11,2,1,10.3
Sphygmomanometers,B. Braun Melsungen AG,11,0,1,36.1
Defibrillator,Med-Vantage Sdn Bhd,6,1,1,24.8
Radiographic System,Baxter Healthcare Corp,25,0,1,12.8
Radiographic System,Nihon Kohden Corp,12,0,1,23.9
Infusion Pump,Medtronic,26,0,1,18.8
Defibrillator,B. Braun Melsungen AG,7,1,1,26.1
Defibrillator,Omron Healthcare Co Ltd,30,1,2,2.0
Sphygmomanometers,GE Healthcare,28,1,1,2.0
Physiologic Monitoring System,Blease Medical Equipment Ltd,28,0,1,11.7
Radiographic System,Datex-Ohmeda Inc,21,0,1,15.7
Sphygmomanometers,Baxter Healthcare Corp,27,1,1,4.6
Ventilator,Med-Vantage Sdn Bhd,25,0,2,6.7
Radiographic System,Omron Healthcare Co Ltd,29,1,1,2.0
Sphygmomanometers,Omron Healthcare Co Ltd,8,0,2,38.9
Radiographic System,Physio-Control Inc,6,2,2,5.4
Physiologic Monitoring System,Siemens Healthineers,30,1,1,2.0
Ventilator,Koninklijke Philips N.V.,25,0,1,15.0
Physiologic Monitoring System,GE Healthcare,20,0,1,29.2
Ventilator,Siemens Healthineers,23,1,1,3.7
Infusion Pump,Drager Medical AG & Co KGaA,14,2,2,3.1
Sphygmomanometers,Blease Medical Equipment Ltd,1,0,2,49.3
Ventilator,Omron Healthcare Co Ltd,22,0,1,20.0
Physiologic Monitoring System,Koninklijke Philips N.V.,30,2,1,2.0
Radiographic System,Welch Allyn Inc,19,1,1,10.6
Ventilator,Siemens Healthineers,24,0,2,7.8
Sphygmomanometers,Med-Vantage Sdn Bhd,11,1,1,24.9
Ventilator,Med-Vantage Sdn Bhd,0,0,1,43.3
Defibrillator,Med-Vantage Sdn Bhd,22,1,1,4.5
Radiographic System,Medtronic,21,0,2,15.7
Sphygmomanometers,Baxter Healthcare Corp,7,2,2,17.7
Sphygmomanometers,Canon Inc (Toshiba Medical),4,1,1,35.7
Infusion Pump,Siemens Healthineers,14,1,1,22.3
Physiologic Monitoring System,Med-Vantage Sdn Bhd,0,1,2,34.2
Infusion Pump,Physio-Control Inc,0,2,1,30.1
Sphygmomanometers,Datex-Ohmeda Inc,24,2,2,2.0
Radiographic System,Medtronic,30,1,1,2.0
Ventilator,Canon Inc (Toshiba Medical),9,1,2,15.3
Ventilator,GE Healthcare,21,1,1,4.4
Radiographic System,GE Healthcare,9,1,2,11.4
Sphygmomanometers,GE Healthcare,20,0,2,25.5
Ventilator,GE Healthcare,14,1,2,12.9
Ventilator,Datex-Ohmeda Inc,16,0,2,16.4
Ventilator,Siemens Healthineers,21,2,2,2.0
Physiologic Monitoring System,Med-Vantage Sdn Bhd,5,0,1,44.0
Physiologic Monitoring System,B. Braun Melsungen AG,2,2,2,19.3
Defibrillator,Siemens Healthineers,12,1,2,13.6
Infusion Pump,Omron Healthcare Co Ltd,15,1,1,18.9
Radiographic System,Drager Medical AG & Co KGaA,7,1,2,18.6
Radiographic System,Canon Inc (Toshiba Medical),29,0,2,2.0
Radiographic System,Med-Vantage Sdn Bhd,14,0,1,29.0
Defibrillator,Blease Medical Equipment Ltd,16,0,1,27.5
Physiologic Monitoring System,Canon Inc (Toshiba Medical),16,1,1,20.8
Sphygmomanometers,Med-Vantage Sdn Bhd,21,0,1,25.7
Sphygmomanometers,Baxter Healthcare Corp,25,1,1,7.2
Defibrillator,Koninklijke Philips N.V.,12,0,1,34.4
Sphygmomanometers,B. Braun Melsungen AG,16,0,1,31.3
Radiographic System,Canon Inc (Toshiba Medical),5,0,1,37.9
Infusion Pump,B. Braun Melsungen AG,16,2,2,2.7
Ventilator,Omron Healthcare Co Ltd,15,1,1,12.7
Physiologic Monitoring System,Siemens Healthineers,13,0,1,38.0
Physiologic Monitoring System,B. Braun Melsungen AG,12,1,1,23.2
Defibrillator,Nihon Kohden Corp,5,0,1,37.3
Physiologic Monitoring System,Nihon Kohden Corp,2,2,2,20.3
Radiographic System,Blease Medical Equipment Ltd,13,1,2,10.1
Sphygmomanometers,Drager Medical AG & Co KGaA,13,0,2,39.8
Radiographic System,Welch Allyn Inc,14,1,1,10.9
Defibrillator,Koninklijke Philips N.V.,7,0,2,32.3
Radiographic System,Physio-Control Inc,28,2,1,2.0
Sphygmomanometers,Datex-Ohmeda Inc,14,0,1,36.4
Infusion Pump,Siemens Healthineers,21,1,1,10.7
Defibrillator,Datex-Ohmeda Inc,28,0,1,8.4
Infusion Pump,Blease Medical Equipment Ltd,26,1,1,5.9
Ventilator,Physio-Control Inc,12,1,1,16.4
Infusion Pump,Blease Medical Equipment Ltd,16,1,2,16.1
Ventilator,Med-Vantage Sdn Bhd,30,1,1,2.0
Ventilator,Siemens Healthineers,20,2,1,2.0
Infusion Pump,Siemens Healthineers,23,0,1,21.8
Defibrillator,Koninklijke Philips N.V.,2,0,2,42.6
Sphygmomanometers,Datex-Ohmeda Inc,27,0,1,20.2
Radiographic System,Nihon Kohden Corp,5,2,2,5.5
Radiographic System,GE Healthcare,4,0,2,33.1
Sphygmomanometers,Datex-Ohmeda Inc,21,1,1,11.7
Ventilator,Baxter Healthcare Corp,25,1,1,2.0
Ventilator,Blease Medical Equipment Ltd,16,0,1,24.6
Defibrillator,Baxter Healthcare Corp,22,0,2,13.5
Physiologic Monitoring System,Siemens Healthineers,24,0,1,24.1
Infusion Pump,GE Healthcare,1,0,1,49.3
Ventilator,Medtronic,25,0,1,7.8
Radiographic System,Physio-Control Inc,14,0,2,29.7
Defibrillator,Drager Medical AG & Co KGaA,4,2,1,15.1
Infusion Pump,GE Healthcare,25,2,1,2.0
Defibrillator,Med-Vantage Sdn Bhd,19,0,2,13.5
Infusion Pump,Drager Medical AG & Co KGaA,5,0,2,40.1
Infusion Pump,Canon Inc (Toshiba Medical),5,0,2,37.5
Sphygmomanometers,Datex-Ohmeda Inc,26,1,1,2.0
Ventilator,Datex-Ohmeda Inc,17,2,2,2.0
Defibrillator,Drager Medical AG & Co KGaA,17,0,2,19.8
Defibrillator,Welch Allyn Inc,3,0,1,42.6
Sphygmomanometers,Physio-Control Inc,16,1,2,17.3
Radiographic System,Med-Vantage Sdn Bhd,24,1,1,2.0
Radiographic System,GE Healthcare,13,0,2,22.3
Ventilator,Medtronic,13,1,1,16.0
Ventilator,Siemens Healthineers,12,0,2,24.3
Physiologic Monitoring System,Koninklijke Philips N.V.,6,0,1,43.8
Sphygmomanometers,Med-Vantage Sdn Bhd,11,1,2,21.0
Radiographic System,Datex-Ohmeda Inc,22,2,1,2.0
Infusion Pump,Baxter Healthcare Corp,14,0,2,27.1
Defibrillator,Physio-Control Inc,18,2,2,2.0
Ventilator,Koninklijke Philips N.V.,30,0,1,7.3
Defibrillator,Blease Medical Equipment Ltd,10,1,2,17.0
Defibrillator,Blease Medical Equipment Ltd,14,1,2,9.6
Physiologic Monitoring System,Medtronic,11,2,1,15.8
Radiographic System,Blease Medical Equipment Ltd,2,2,1,13.4
Ventilator,Med-Vantage Sdn Bhd,16,0,1,21.6
Defibrillator,B. Braun Melsungen AG,2,2,1,21.1
Ventilator,Omron Healthcare Co Ltd,18,2,1,2.0
Infusion Pump,Siemens Healthineers,19,1,1,12.4
Physiologic Monitoring System,Datex-Ohmeda Inc,3,0,1,49.1
Infusion Pump,Siemens Healthineers,2,2,1,20.4
Ventilator,Blease Medical Equipment Ltd,25,2,1,2.0
Ventilator,Welch Allyn Inc,15,0,2,23.3
Radiographic System,Canon Inc (Toshiba Medical),11,2,2,2.0
Defibrillator,Canon Inc (Toshiba Medical),7,0,1,40.8
Defibrillator,Koninklijke Philips N.V.,23,0,2,14.8
Infusion Pump,Canon Inc (Toshiba Medical),28,1,2,2.0
Physiologic Monitoring System,Canon Inc (Toshiba Medical),28,1,2,2.0
Sphygmomanometers,Siemens Healthineers,16,1,1,22.4
Defibrillator,Omron Healthcare Co Ltd,6,0,1,35.0
Radiographic System,B. Braun Melsungen AG,10,2,2,2.0
Infusion Pump,Koninklijke Philips N.V.,17,0,2,27.5
Infusion Pump,Datex-Ohmeda Inc,0,0,2,44.6
Sphygmomanometers,GE Healthcare,2,0,2,49.2
Radiographic System,Baxter Healthcare Corp,3,1,1,27.5
Physiologic Monitoring System,Koninklijke Philips N.V.,12,2,1,9.7
Radiographic System,Nihon Kohden Corp,5,1,1,20.8
Physiologic Monitoring System,Welch Allyn Inc,25,2,1,2.0
Radiographic System,B. Braun Melsungen AG,13,0,2,25.7
Radiographic System,Welch Allyn Inc,4,1,1,24.7
Ventilator,Koninklijke Philips N.V.,15,1,1,13.2
Infusion Pump,Koninklijke Philips N.V.,14,1,2,11.5
Radiographic System,Nihon Kohden Corp,14,0,1,24.1
Sphygmomanometers,Canon Inc (Toshiba Medical),29,1,2,2.0
Radiographic System,Datex-Ohmeda Inc,3,1,2,24.5
Defibrillator,Med-Vantage Sdn Bhd,7,1,2,21.8
Infusion Pump,Med-Vantage Sdn Bhd,26,1,1,2.0
Defibrillator,Welch Allyn Inc,15,0,1,26.4
Infusion Pump,Koninklijke Philips N.V.,27,1,1,2.0
Defibrillator,Baxter Healthcare Corp,15,0,1,26.7
Radiographic System,Siemens Healthineers,29,2,1,2.0
Radiographic System,Datex-Ohmeda Inc,3,1,2,25.3
Ventilator,Baxter Healthcare Corp,12,0,1,30.1
Sphygmomanometers,Blease Medical Equipment Ltd,25,2,2,2.0
Defibrillator,Datex-Ohmeda Inc,27,1,1,2.0
Physiologic Monitoring System,Blease Medical Equipment Ltd,12,0,2,27.9
Ventilator,Baxter Healthcare Corp,1,1,2,29.8
Defibrillator,Omron Healthcare Co Ltd,30,0,1,9.1
Defibrillator,B. Braun Melsungen AG,2,2,1,17.5
Ventilator,Canon Inc (Toshiba Medical),21,2,2,2.0
Radiographic System,Baxter Healthcare Corp,7,2,2,7.0
Defibrillator,Drager Medical AG & Co KGaA,23,1,2,2.0
Radiographic System,Baxter Healthcare Corp,14,1,1,11.5
Ventilator,GE Healthcare,10,1,1,18.4
Radiographic System,GE Healthcare,30,0,2,2.0
Infusion Pump,Physio-Control Inc,8,1,2,23.6
Physiologic Monitoring System,Blease Medical Equipment Ltd,6,1,1,34.7
Defibrillator,Drager Medical AG & Co KGaA,12,0,2,25.7
Sphygmomanometers,Canon Inc (Toshiba Medical),1,0,1,51.3
Physiologic Monitoring System,Drager Medical AG & Co KGaA,7,2,1,24.3
Radiographic System,Siemens Healthineers,6,2,1,11.6
Defibrillator,Drager Medical AG & Co KGaA,23,0,1,19.2
Radiographic System,Siemens Healthineers,11,0,1,31.0
Infusion Pump,Physio-Control Inc,18,0,1,28.1
Ventilator,Physio-Control Inc,6,2,1,11.6
Defibrillator,B. Braun Melsungen AG,9,0,2,23.3
Infusion Pump,Med-Vantage Sdn Bhd,28,1,2,2.0
Infusion Pump,GE Healthcare,24,0,2,15.6
Defibrillator,Baxter Healthcare Corp,15,1,2,3.2
Radiographic System,Baxter Healthcare Corp,2,0,1,41.6
Sphygmomanometers,Blease Medical Equipment Ltd,29,1,2,2.0
Infusion Pump,Nihon Kohden Corp,9,0,2,36.4
Physiologic Monitoring System,Nihon Kohden Corp,5,1,1,34.5
Infusion Pump,Medtronic,17,0,1,31.3
Sphygmomanometers,Datex-Ohmeda Inc,17,1,1,24.4
Radiographic System,B. Braun Melsungen AG,4,2,2,11.5
Radiographic System,Medtronic,20,0,1,18.5
Physiologic Monitoring System,Medtronic,28,2,2,2.0
Infusion Pump,Koninklijke Philips N.V.,6,1,2,26.0
Radiographic System,Blease Medical Equipment Ltd,27,0,2,3.2
Sphygmomanometers,Koninklijke Philips N.V.,1,0,2,51.5
Defibrillator,Welch Allyn Inc,10,0,2,30.4
Ventilator,Blease Medical Equipment Ltd,29,1,1,2.0
Ventilator,Medtronic,12,1,1,20.2
Ventilator,Drager Medical AG & Co KGaA,22,0,2,10.7
Infusion Pump,Datex-Ohmeda Inc,4,1,1,30.9
Physiologic Monitoring System,Med-Vantage Sdn Bhd,29,2,1,2.0
Radiographic System,B. Braun Melsungen AG,5,2,1,10.4
Defibrillator,Blease Medical Equipment Ltd,23,1,2,2.0
Sphygmomanometers,Med-Vantage Sdn Bhd,25,2,1,2.0
Defibrillator,Medtronic,28,1,2,2.0
Sphygmomanometers,Canon Inc (Toshiba Medical),13,0,1,40.4
Infusion Pump,Omron Healthcare Co Ltd,11,2,1,9.9
Ventilator,Baxter Healthcare Corp,3,1,2,24.6
Infusion Pump,Datex-Ohmeda Inc,28,1,1,2.0
Physiologic Monitoring System,Koninklijke Philips N.V.,22,1,2,6.5
Physiologic Monitoring System,Welch Allyn Inc,5,2,2,16.9
Sphygmomanometers,Baxter Healthcare Corp,9,2,2,13.2
Radiographic System,Med-Vantage Sdn Bhd,17,0,1,22.0
Radiographic System,Blease Medical Equipment Ltd,14,0,2,21.9
Sphygmomanometers,Koninklijke Philips N.V.,7,1,2,27.7
Physiologic Monitoring System,Koninklijke Philips N.V.,25,1,2,4.2
Physiologic Monitoring System,Datex-Ohmeda Inc,8,0,1,45.0
Physiologic Monitoring System,Koninklijke Philips N.V.,4,1,1,32.0
Infusion Pump,Med-Vantage Sdn Bhd,9,1,2,26.2
Physiologic Monitoring System,Omron Healthcare Co Ltd,19,0,2,21.5
Defibrillator,Physio-Control Inc,5,0,1,45.5
Ventilator,Welch Allyn Inc,15,0,1,24.8
Physiologic Monitoring System,GE Healthcare,23,2,1,2.0
Sphygmomanometers,Med-Vantage Sdn Bhd,26,0,1,23.0
Ventilator,Physio-Control Inc,30,0,1,5.0
Infusion Pump,Med-Vantage Sdn Bhd,2,1,1,36.1
Sphygmomanometers,GE Healthcare,9,0,2,41.9
Ventilator,Nihon Kohden Corp,10,0,1,31.2
Sphygmomanometers,Canon Inc (Toshiba Medical),10,0,2,36.0
Infusion Pump,Nihon Kohden Corp,16,1,1,14.8
Defibrillator,Koninklijke Philips N.V.,3,1,1,34.5
Infusion Pump,B. Braun Melsungen AG,30,0,1,10.8
Infusion Pump,B. Braun Melsungen AG,3,0,1,50.1
Sphygmomanometers,GE Healthcare,16,2,2,2.7
Radiographic System,Baxter Healthcare Corp,8,0,2,31.5
